Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,RX-8250,Substance Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,RX-8250,Substance Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - TASK FORCES(982),982,MIAMI COALITION - TASK FORCES,MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),"The Miami Coalition Task Forces are comprised of volunteers representing a wide range of resources in terms of their expertise and experience relative to  the drug abuse problem. The five task forces work on projects and activities that involve creative solutions to substance abuse issues. The task forces are:  Law Enforcement Task Force, Public Information Task Force, Schools Task Force, Religious Task Force, and the Intervention, Treatment and Recovery Task Force.",Miami-Dade County residents.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.,,Yes.  Visit website for more information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,RX-8250,Substance Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC)(983),983,MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC),MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),The RIC will organize data from local agencies and universities to translate data into knowledge and disseminate the information gathered.   Our intent is to facilitate and optimize priority setting and knowledge base planning.   We will also train both adult leaders and youth in organizing efforts using optimize priority setting and knowledge based planning.,Miami-Dade Resident.,8:30am-5:00pm Mon-Fri,Call for information.,"English, Spanish",None.,,Yes.  Check website or call for information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,RX-8250.0500,Alcohol Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC)(983),983,MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC),MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),The RIC will organize data from local agencies and universities to translate data into knowledge and disseminate the information gathered.   Our intent is to facilitate and optimize priority setting and knowledge base planning.   We will also train both adult leaders and youth in organizing efforts using optimize priority setting and knowledge based planning.,Miami-Dade Resident.,8:30am-5:00pm Mon-Fri,Call for information.,"English, Spanish",None.,,Yes.  Check website or call for information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,866-305-7365 x2,Yes,RX-8250.0500,Alcohol Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC)(983),983,MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC),MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),The RIC will organize data from local agencies and universities to translate data into knowledge and disseminate the information gathered.   Our intent is to facilitate and optimize priority setting and knowledge base planning.   We will also train both adult leaders and youth in organizing efforts using optimize priority setting and knowledge based planning.,Miami-Dade Resident.,8:30am-5:00pm Mon-Fri,Call for information.,"English, Spanish",None.,,Yes.  Check website or call for information.,www.miamicoalition.org,Mailing,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,No,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,RX-8250.0500,Alcohol Abuse Education/Prevention,Primary Services,No,Florida
MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC)(983),983,MIAMI COALITION - RESEARCH & INFORMATION CENTER (RIC),MIAMI COALITION FOR A SAFE AND DRUG-FREE COMMUNITY(981),The RIC will organize data from local agencies and universities to translate data into knowledge and disseminate the information gathered.   Our intent is to facilitate and optimize priority setting and knowledge base planning.   We will also train both adult leaders and youth in organizing efforts using optimize priority setting and knowledge based planning.,Miami-Dade Resident.,8:30am-5:00pm Mon-Fri,Call for information.,"English, Spanish",None.,,Yes.  Check website or call for information.,www.miamicoalition.org,Physical,1205 Sunset Rd,2nd Floor,Miami,FL ,33143,Miami-dade,Yes,Douglas Hughes,Executive Director,dhughes@miamicoalition.org,954-594-1000,Yes,786-242-8759,No,RX-8250.0500,Alcohol Abuse Education/Prevention,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Mailing,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,No,Patricia Abaroa,Volunteer and Recruitment Coordinator,patricia.abaroa@gal.fl.gov,786-469-3864,No,305-638-6017,No,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Physical,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,Yes,Patricia Abaroa,Volunteer and Recruitment Coordinator,patricia.abaroa@gal.fl.gov,786-469-3864,No,305-638-6017,No,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Mailing,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,No,Sonia Ferrer,Director,joni.goodman@gal.fl.gov,305-638-6861,Yes,305-638-6017,No,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Physical,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,Yes,Sonia Ferrer,Director,joni.goodman@gal.fl.gov,305-638-6861,Yes,305-638-6017,No,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Mailing,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,No,Patricia Abaroa,Volunteer and Recruitment Coordinator,patricia.abaroa@gal.fl.gov,786-469-3864,No,305-638-6861,Yes,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Physical,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,Yes,Patricia Abaroa,Volunteer and Recruitment Coordinator,patricia.abaroa@gal.fl.gov,786-469-3864,No,305-638-6861,Yes,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Mailing,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,No,Sonia Ferrer,Director,joni.goodman@gal.fl.gov,305-638-6861,Yes,305-638-6861,Yes,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
GUARDIAN AD LITEM(1094),1094,GUARDIAN AD LITEM,GUARDIAN AD LITEM PROGRAM(1093),"The Guardian Ad Litem Program advocates for abused, neglected, and abandoned children who are involved in court proceedings. Guardians ad Litem function as the voice for the child, as well as the ""eyes and ears"" of the court, and make recommendations to the judge concerning the child�??s social, physical, emotional, educational and legal status.","Adults must complete a pre-training interview, pass a background screening and complete training.","8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.weareguardians.org,Physical,3302 NW 27th Avenue,North Annex,Miami,FL ,33142,Miami-dade,Yes,Sonia Ferrer,Director,joni.goodman@gal.fl.gov,305-638-6861,Yes,305-638-6861,Yes,PH-6500.1500,Children's Protective Services,Primary Services,No,Florida
